Dimension,Power,Time,Optimization
All entries in matrix are NaN-like
50,8000,2.048200,Ofast
All entries in matrix are NaN-like
50,8000,2.015137,Ofast
All entries in matrix are NaN-like
50,8000,1.961035,Ofast
All entries in matrix are NaN-like
50,8000,1.933370,Ofast
All entries in matrix are NaN-like
50,8000,2.046999,Ofast
50,8000,2.045281,Ofast
All entries in matrix are NaN-like
50,8000,1.996906,Ofast
All entries in matrix are NaN-like
50,8000,2.113045,Ofast
All entries in matrix are NaN-like
50,8000,2.066210,Ofast
All entries in matrix are NaN-like
50,8000,2.079986,Ofast
All entries in matrix are NaN-like
50,8000,2.071388,Ofast
All entries in matrix are NaN-like
50,9000,2.190662,Ofast
All entries in matrix are NaN-like
50,9000,2.062986,Ofast
All entries in matrix are NaN-like
50,9000,1.919318,Ofast
All entries in matrix are NaN-like
50,9000,2.057963,Ofast
All entries in matrix are NaN-like
50,9000,1.950900,Ofast
All entries in matrix are NaN-like
50,9000,2.001211,Ofast
All entries in matrix are NaN-like
50,9000,2.107139,Ofast
All entries in matrix are NaN-like
50,9000,2.008244,Ofast
All entries in matrix are NaN-like
50,9000,2.058897,Ofast
All entries in matrix are NaN-like
50,9000,2.002504,Ofast
All entries in matrix are NaN-like
50,9000,1.976729,Ofast
All entries in matrix are NaN-like
50,9000,2.128295,Ofast
All entries in matrix are NaN-like
50,9000,2.023347,Ofast
All entries in matrix are NaN-like
50,9000,1.880050,Ofast
All entries in matrix are NaN-like
50,9000,1.980826,Ofast
All entries in matrix are NaN-like
50,9000,2.092382,Ofast
All entries in matrix are NaN-like
50,9000,2.139867,Ofast
All entries in matrix are NaN-like
50,9000,1.968061,Ofast
All entries in matrix are NaN-like
50,9000,1.958943,Ofast
All entries in matrix are NaN-like
50,9000,1.884697,Ofast
All entries in matrix are NaN-like
50,9000,2.017074,Ofast
All entries in matrix are NaN-like
50,9000,2.077731,Ofast
All entries in matrix are NaN-like
50,9000,1.939114,Ofast
All entries in matrix are NaN-like
50,9000,2.049401,Ofast
All entries in matrix are NaN-like
50,9000,2.100585,Ofast
All entries in matrix are NaN-like
50,9000,2.088533,Ofast
All entries in matrix are NaN-like
50,9000,2.095358,Ofast
All entries in matrix are NaN-like
50,9000,1.929423,Ofast
All entries in matrix are NaN-like
50,9000,1.938732,Ofast
All entries in matrix are NaN-like
50,9000,2.013065,Ofast
All entries in matrix are NaN-like
50,10000,2.056817,Ofast
All entries in matrix are NaN-like
50,10000,2.177319,Ofast
All entries in matrix are NaN-like
50,10000,2.129078,Ofast
All entries in matrix are NaN-like
50,10000,2.062522,Ofast
All entries in matrix are NaN-like
50,10000,2.064339,Ofast
All entries in matrix are NaN-like
50,10000,1.983070,Ofast
All entries in matrix are NaN-like
50,10000,2.017882,Ofast
All entries in matrix are NaN-like
50,10000,2.044975,Ofast
All entries in matrix are NaN-like
50,10000,1.911322,Ofast
All entries in matrix are NaN-like
50,10000,2.118450,Ofast
All entries in matrix are NaN-like
50,10000,2.040853,Ofast
All entries in matrix are NaN-like
50,10000,1.912458,Ofast
All entries in matrix are NaN-like
50,10000,1.995995,Ofast
All entries in matrix are NaN-like
50,10000,1.962697,Ofast
All entries in matrix are NaN-like
50,10000,2.036083,Ofast
All entries in matrix are NaN-like
50,10000,2.002854,Ofast
All entries in matrix are NaN-like
50,10000,2.038508,Ofast
All entries in matrix are NaN-like
50,10000,2.120821,Ofast
All entries in matrix are NaN-like
50,10000,1.958701,Ofast
All entries in matrix are NaN-like
50,10000,1.987998,Ofast
All entries in matrix are NaN-like
50,10000,2.073604,Ofast
All entries in matrix are NaN-like
50,10000,2.084494,Ofast
All entries in matrix are NaN-like
50,10000,1.846334,Ofast
All entries in matrix are NaN-like
50,10000,2.071280,Ofast
All entries in matrix are NaN-like
50,10000,2.047609,Ofast
All entries in matrix are NaN-like
50,10000,2.065631,Ofast
All entries in matrix are NaN-like
50,10000,2.041565,Ofast
All entries in matrix are NaN-like
50,10000,2.041796,Ofast
